"Name","Country","Club","Year","Queer"
"Nicole Sedgwick","Canada","Surrey Marlins SC",1995,0
"Janine Helland","Canada","Edmonton Angels",1995,0
"Veronica O'Brien","Canada","?",1995,0
"Annie Caron","Canada","Lakeshore United FC",1995,0
"Joan McEachern","Canada","Coquitlam Strikers",1995,0
"Angela Kelly","Canada","NC State",1995,0
"Cathy Ross","Canada","Coquitlam Strikers",1995,0
"Suzanne Muir","Canada","Coquitlam Strikers",1995,0
"Luce Mongrain","Canada","?",1995,0
"Silvana Burtini","Canada","Surrey Marlins SC",1995,0
"Carla Chin","Canada","Columbus Ziggs",1995,0
"Suzanne Gerrior","Canada","NC State",1995,0
"Tania Singfield","Canada","Omega",1995,0
"Pauline Cope","England","Arsenal Ladies",1995,0
"Hope Powell","England","Croydon Women",1995,0
"Tina Mapes","England","Croydon Women",1995,0
"Samantha Britton","England","Arsenal Ladies",1995,0
"Clare Taylor","England","Liverpool Ladies",1995,0
"Gillian Coultard","England","Doncaster Belles",1995,0
"Marieanne Spacey","England","Arsenal Ladies",1995,0
"Debbie Bampton","England","Croydon Women",1995,0
"Karen Farley","England","Hammarby IF",1995,0
"Karen Burke","England","Liverpool Ladies",1995,0
"Brenda Sempare","England","Croydon Women",1995,0
"Kerry Davis","England","Croydon Women",1995,0
"Lesley Higgs","England","Wembley Ladies",1995,0
"Karen Walker","England","Doncaster Belles",1995,0
"Sian Williams","England","Arsenal Ladies",1995,0
"Donna Smith","England","Croydon Women",1995,0
"Louise Waller","England","Millwall Lionesses",1995,0
"Mary Phillip","England","Millwall Lionesses",1995,0
"Julie Fletcher","England","Millwall Lionesses",1995,0
"Becky Easton","England","Liverpool Ladies",1995,0
"Ann Chiejine","Nigeria","Princess Jegede",1995,0
"Florence Omagbemi","Nigeria","Princess Jegede",1995,0
"Ngozi Ezeocha","Nigeria","Princess Jegede",1995,0
"Adaku Okoroafor","Nigeria","Princess Jegede",1995,0
"Omo-Love Branch","Nigeria","Rivers Angels",1995,0
"Yinka Kudaisi","Nigeria","Abiola Babes",1995,0
"Nkechi Mbilitam","Nigeria","Pelican Stars",1995,0
"Rita Nwadike","Nigeria","Rivers Angels",1995,0
"Ngozi Eucharia Uche","Nigeria","Ufuoma Babes",1995,0
"Mavis Ogun","Nigeria","Ufuoma Babes",1995,0
"Prisca Emeafu","Nigeria","Rivers Angels",1995,0
"Mercy Akide","Nigeria","Ufuoma Babes",1995,0
"Nkiru Okosieme","Nigeria","Rivers Angels",1995,0
"Phoebe Ebimiekumo","Nigeria","Ufuoma Babes",1995,0
"Maureen Mmadu","Nigeria","Princess Jegede",1995,0
"Ugochi Opara","Nigeria","?",1995,0
"Louisa Akpagu","Nigeria","Princess Jegede",1995,0
"Patience Avre","Nigeria","Princess Jegede",1995,0
"Diana Nwaiwu","Nigeria","Rivers Angels",1995,0
"Ann Mukoro","Nigeria","Rivers Angels",1995,0
"Bente Nordby","Norway","SK Sprint/Jeløy",1995,1
"Tina Svensson","Norway","Asker",1995,0
"Gro Espeseth","Norway","IL Sandviken",1995,0
"Anne Nymark Andersen","Norway","Bjørnar IL",1995,0
"Nina Nymark Andersen","Norway","IL Sandviken",1995,0
"Hege Riise","Norway","Setskog/Høland FK",1995,1
"Tone Haugen","Norway","Nikko Sec. Ladies FC",1995,1
"Heidi Støre","Norway","Kolbotn IL",1995,1
"Kristin Sandberg","Norway","Asker",1995,0
"Linda Medalen","Norway","Nikko Sec. Ladies FC",1995,1
"Ann Kristin Aarønes","Norway","Trondheims-Ørn SK",1995,0
"Reidun Seth","Norway","Öxabäck IF",1995,1
"Merete Myklebust","Norway","Trondheims-Ørn SK",1995,0
"Hege Gunnerød","Norway","Asker",1995,0
"Randi Leinan","Norway","Trondheims-Ørn SK",1995,0
"Marianne Pettersen","Norway","Gjelleråsen IF",1995,0
"Anita Waage","Norway","Trondheims-Ørn SK",1995,0
"Tone Gunn Frustøl","Norway","FK Donn",1995,0
"Agnete Carlsen","Norway","Kolbotn IL",1995,1
"Ingrid Sternhoff","Norway","SK Haugar",1995,0
"Tracey Wheeler","Australia","Forrestfield United",1995,0
"Sarah Cooper","Australia","Mindil Aces",1995,0
"Jane Oakley","Australia","Berwick City",1995,0
"Julie Murray","Australia","Sydney Olympic",1995,0
"Cheryl Salisbury","Australia","Stirling Macedonia",1995,1
"Anissa Tann","Australia","Marconi Stallions",1995,0
"Alison Forman","Australia","Fortuna Hjørring",1995,0
"Sonia Gegenhuber","Australia","Eastern Suburbs",1995,0
"Angela Iannotta","Australia","Agliana CF",1995,0
"Sunni Hughes","Australia","Panasonic Bambina",1995,0
"Kaylene Janssen","Australia","Eastern Suburbs",1995,0
"Michelle Watson","Australia","Marconi Stallions",1995,0
"Traci Bartlett","Australia","Marconi Stallions",1995,0
"Denie Pentecost","Australia","Sydney Olympic",1995,0
"Kim Lembryk","Australia","Marconi Stallions",1995,0
"Lisa Casagrande","Australia","Goonellabah Hornets",1995,0
"Sacha Wainwright","Australia","Weston Creek",1995,0
"Louise McMurtrie","Australia","Queensland Academy of Sport",1995,0
"Lizzy Claydon","Australia","Stirling Vasto",1995,0
"Claire Nichols","Australia","Liverpool (NSW)",1995,0
"Zhong Honglian","China","Dalian",1995,0
"Wang Liping","China","Hebei",1995,0
"Fan Yunjie","China","Henan",1995,0
"Yu Hongqi","China","Dalian",1995,0
"Zhou Yang","China","Dalian",1995,0
"Zhou Hua","China","Dalian",1995,0
"Wei Haiying","China","Guangdong",1995,0
"Shui Qingxia","China","Shanghai SVA",1995,0
"Sun Wen","China","Shanghai SVA",1995,0
"Liu Ailing","China","Beijing",1995,0
"Sun Qingmei","China","Hebei",1995,0
"Wen Lirong","China","Beijing",1995,0
"Niu Lijie","China","Changchun",1995,0
"Xie Huilin","China","Shanghai SVA",1995,0
"Shi Guihong","China","Guangdong",1995,0
"Chen Yufeng","China","Shandong",1995,0
"Zhao Lihong","China","Guangdong",1995,0
"Man Yanling","China","Beijing",1995,0
"Li Ying","China","Beijing",1995,1
"Gao Hong","China","Guangdong",1995,0
"Dorthe Larsen","Denmark","Fortuna Hjørring",1995,0
"Louise Hansen","Denmark","BK Rødovre",1995,1
"Kamma Flæng","Denmark","HEI Aarhus",1995,0
"Lene Terp","Denmark","Vejle",1995,0
"Katrine Pedersen","Denmark","HEI Aarhus",1995,0
"Rikke Holm","Denmark","OB",1995,0
"Annette Laursen","Denmark","HEI Aarhus",1995,0
"Lisbet Kolding","Denmark","HEI Aarhus",1995,0
"Helle Jensen","Denmark","Fortuna Hjørring",1995,0
"Birgit Christensen","Denmark","Fortuna Hjørring",1995,0
"Gitte Krogh","Denmark","HEI Aarhus",1995,0
"Anne Dot Eggers Nielsen","Denmark","HEI Aarhus",1995,0
"Christina Hansen","Denmark","Hillerød",1995,0
"Lene Madsen","Denmark","Fortuna Hjørring",1995,0
"Christina Bonde","Denmark","BK Rødovre",1995,0
"Helle Bjerregaard","Denmark","BK Rødovre",1995,0
"Karina Christensen","Denmark","Fortuna Hjørring",1995,0
"Bettina Allentoft","Denmark","HEI Aarhus",1995,0
"Jeanne Axelsen","Denmark","Hillerød",1995,0
"Christina Petersen","Denmark","Fortuna Hjørring",1995,0
"Briana Scurry","United States","University of Massachusetts Amherst",1995,1
"Thori Staples","United States","NC State",1995,0
"Holly Manthei","United States","University of Notre Dame",1995,0
"Carla Overbeck","United States","University of North Carolina",1995,0
"Tiffany Roberts","United States","University of North Carolina",1995,0
"Debbie Keller","United States","University of North Carolina",1995,0
"Sarah Rafanelli","United States","Santa Clara University",1995,0
"Linda Hamilton","United States","University of North Carolina",1995,0
"Mia Hamm","United States","University of North Carolina",1995,0
"Michelle Akers","United States","University of Central Florida",1995,0
"Julie Foudy","United States","Stanford University",1995,0
"Carin Jennings-Gabarra","United States","UC Santa Barbara",1995,0
"Kristine Lilly","United States","University of North Carolina",1995,0
"Joy Fawcett","United States","UC Berkeley",1995,0
"Tisha Venturini","United States","University of North Carolina",1995,0
"Tiffeny Milbrett","United States","University of Portland",1995,0
"Jennifer Lalor","United States","Santa Clara University",1995,0
"Saskia Webber","United States","Rutgers University",1995,1
"Amanda Cromwell","United States","University of Virginia",1995,1
"Mary Harvey","United States","Santa Clara University",1995,0
"Dorthe Larsen","Denmark","Fortuna Hjørring",1999,0
"Hanne Sand Christensen","Denmark","Fortuna Hjørring",1999,0
"Karina Christensen","Denmark","BK Rødovre",1999,0
"Lene Terp","Denmark","OB",1999,0
"Marlene Kristensen","Denmark","OB",1999,0
"Jeanne Axelsen","Denmark","Frederiksberg Boldklub",1999,0
"Louise Hansen","Denmark","SF Siegen",1999,1
"Janne Rasmussen","Denmark","OB",1999,0
"Christina Petersen","Denmark","Fortuna Hjørring",1999,0
"Gitte Krogh","Denmark","OB",1999,0
"Merete Pedersen","Denmark","OB",1999,0
"Lene Jensen","Denmark","HEI Aarhus",1999,0
"Ulla Knudsen","Denmark","HEI Aarhus",1999,0
"Katrine Pedersen","Denmark","HEI Aarhus",1999,0
"Mikka Hansen","Denmark","Frederiksberg Boldklub",1999,0
"Christina Jensen","Denmark","BK Rødovre",1999,0
"Hanne Nørregaard","Denmark","Frederiksberg Boldklub",1999,0
"Lise Søndergaard","Denmark","HEI Aarhus",1999,0
"Janni Johansen","Denmark","Frederiksberg Boldklub",1999,0
"Anne-Mette Christensen","Denmark","Fortuna Hjørring",1999,0
"Ann Chiejine","Nigeria","Pelican Stars",1999,0
"Yinka Kudaisi","Nigeria","Pelican Stars",1999,0
"Martha Tarhemba","Nigeria","Pelican Stars",1999,0
"Adanna Nwaneri","Nigeria","Capital Queens",1999,0
"Eberechi Opara","Nigeria","Pelican Stars",1999,0
"Florence Ajayi","Nigeria","Pelican Stars",1999,0
"Stella Mbachu","Nigeria","Pelican Stars",1999,0
"Rita Nwadike","Nigeria","Rivers Angels",1999,0
"Gloria Usieta","Nigeria","Oladimeji Tigress",1999,0
"Mavis Ogun","Nigeria","Ufuoma Babes",1999,0
"Prisca Emeafu","Nigeria","Pelican Stars",1999,0
"Judith Chime","Nigeria","Pelican Stars",1999,0
"Nkiru Okosieme","Nigeria","Rivers Angels",1999,0
"Florence Omagbemi","Nigeria","Pelican Stars",1999,0
"Maureen Mmadu","Nigeria","Pelican Stars",1999,0
"Florence Iweta","Nigeria","Capital Queens",1999,0
"Nkechi Egbe","Nigeria","Capital Queens",1999,0
"Patience Avre","Nigeria","Pelican Stars",1999,0
"Mercy Akide","Nigeria","Pelican Stars",1999,0
"Ifeanyi Chiejine","Nigeria","Capital Queens",1999,0
"Ri Jong-hui","North Korea","Pyongyang",1999,0
"Yun In-sil","North Korea","Amnokgang",1999,0
"Jo Song-ok","North Korea","Pyongyang",1999,0
