"Name","Country","Club","Year"
"Florence Omagbemi","Nigeria","Pelican Stars",1999
"Maureen Mmadu","Nigeria","Pelican Stars",1999
"Florence Iweta","Nigeria","Capital Queens",1999
"Nkechi Egbe","Nigeria","Capital Queens",1999
"Patience Avre","Nigeria","Pelican Stars",1999
"Mercy Akide","Nigeria","Pelican Stars",1999
"Ifeanyi Chiejine","Nigeria","Capital Queens",1999
"Ri Jong-hui","North Korea","Pyongyang",1999
"Yun In-sil","North Korea","Amnokgang",1999
"Jo Song-ok","North Korea","Pyongyang",1999
"Kim Sun-hui","North Korea","Wolmido",1999
"Kim Sun-hye","North Korea","Rimyongsu",1999
"Sol Yong-suk","North Korea","Kyonggongopsong",1999
"Ri Hyang-ok","North Korea","Rimyongsu",1999
"Kim Song-ryo","North Korea","Amnokgang",1999
"Ri Kyong-ae","North Korea","Sobaeksu",1999
"Kim Kum-sil","North Korea","Pyongyang",1999
"Jo Jong-ran","North Korea","Rimyongsu",1999
"Kim Hye-ran","North Korea","Wolmido",1999
"Ri Ae-gyong","North Korea","Wolmido",1999
"Pak Jong-ae","North Korea","Rimyongsu",1999
"Jin Pyol-hui","North Korea","Wolmido",1999
"Ri Kum-suk","North Korea","Sobaeksu",1999
"Yang Kyong-hui","North Korea","Wolmido",1999
"Kye Yong-sun","North Korea","Wolmido",1999
"Jang Ok-gyong","North Korea","Amnokgang",1999
"Kim Un-ok","North Korea","Kigwancha",1999
"Briana Scurry","United States","U.S. Soccer",1999
"Lorrie Fair","United States","U.S. Soccer",1999
"Christie Pearce","United States","U.S. Soccer",1999
"Carla Overbeck","United States","U.S. Soccer",1999
"Tiffany Roberts","United States","U.S. Soccer",1999
"Brandi Chastain","United States","U.S. Soccer",1999
"Sara Whalen","United States","U.S. Soccer",1999
"Shannon MacMillan","United States","U.S. Soccer",1999
"Mia Hamm","United States","U.S. Soccer",1999
"Michelle Akers","United States","U.S. Soccer",1999
"Julie Foudy","United States","U.S. Soccer",1999
"Cindy Parlow","United States","U.S. Soccer",1999
"Kristine Lilly","United States","U.S. Soccer",1999
"Joy Fawcett","United States","U.S. Soccer",1999
"Tisha Venturini","United States","U.S. Soccer",1999
"Tiffeny Milbrett","United States","U.S. Soccer",1999
"Danielle Fotopoulos","United States","U.S. Soccer",1999
"Saskia Webber","United States","U.S. Soccer",1999
"Tracy Ducar","United States","U.S. Soccer",1999
"Kate Sobrero","United States","U.S. Soccer",1999
"Maravilha","Brazil","São Paulo",1999
"Nenê","Brazil","São Paulo",1999
